Zipcode,Median Income ,Old Median Income,Growth
ZCTA5 02462,532,1876,-1344
ZCTA5 02464,1370,14081,-12711
ZCTA5 02465,4436,11746,-7310
ZCTA5 02466,2990,7341,-4351
ZCTA5 02467,6746,9501,-2755
ZCTA5 02468,1873,4757,-2884
ZCTA5 02472,16067,3771,12296
ZCTA5 02474,11649,6930,4719
ZCTA5 02476,7659,3724,3935
ZCTA5 02478,10372,3439,6933
ZCTA5 02481,4743,4863,-120
ZCTA5 02482,3907,444,3463
ZCTA5 02492,7160,449,6711
ZCTA5 02493,3731,8265,-4534
ZCTA5 02494,4100,2371,1729
ZCTA5 02532,5688,1196,4492
ZCTA5 02534,379,1408,-1029
ZCTA5 02535,742,4125,-3383
ZCTA5 02536,8373,389,7984
ZCTA5 02537,2488,348,2140
ZCTA5 02538,1748,142,1606
ZCTA5 02539,1401,3807,-2406
ZCTA5 02540,4171,1404,2767
ZCTA5 02542,244,1644,-1400
ZCTA5 02543,485,815,-330
ZCTA5 02553,30,1755,-1725
ZCTA5 02554,3973,204,3769
ZCTA5 02556,1018,1286,-268
ZCTA5 02557,685,3829,-3144
ZCTA5 02558,993,135,858
ZCTA5 02559,1593,1209,384
ZCTA5 02561,280,4653,-4373
ZCTA5 02562,1236,1000,236
ZCTA5 02563,3983,1465,2518
ZCTA5 02564,33,0,33
ZCTA5 02568,3044,6080,-3036
ZCTA5 02571,4824,983,3841
ZCTA5 02575,907,4193,-3286
ZCTA5 02576,1767,5028,-3261
ZCTA5 02584,25,1884,-1859
ZCTA5 02601,6794,1522,5272
ZCTA5 02630,744,44,700
ZCTA5 02631,4519,1667,2852
ZCTA5 02632,4744,1363,3381
ZCTA5 02633,2269,240,2029
ZCTA5 02635,1376,2305,-929
ZCTA5 02637,129,17,112
ZCTA5 02638,1447,1286,161
ZCTA5 02639,1712,4087,-2375
ZCTA5 02641,91,919,-828
ZCTA5 02642,2525,54,2471
ZCTA5 02643,0,3014,-3014
ZCTA5 02644,1447,5737,-4290
ZCTA5 02645,4474,534,3940
ZCTA5 02646,896,10,886
ZCTA5 02647,67,512,-445
ZCTA5 02648,3064,2813,251
ZCTA5 02649,6603,1699,4904
ZCTA5 02650,340,1687,-1347
ZCTA5 02652,618,374,244
ZCTA5 02653,2989,2699,290
ZCTA5 02655,1527,64,1463
ZCTA5 02657,1968,4634,-2666
ZCTA5 02659,555,259,296
ZCTA5 02660,2896,1671,1225
ZCTA5 02663,178,1307,-1129
ZCTA5 02664,3989,87,3902
ZCTA5 02666,295,598,-303
ZCTA5 02667,1558,542,1016
ZCTA5 02668,1004,49,955
ZCTA5 02670,829,4045,-3216
ZCTA5 02671,463,2996,-2533
ZCTA5 02672,88,1459,-1371
ZCTA5 02673,3839,16354,-12515
ZCTA5 02675,3087,44,3043
ZCTA5 02702,1673,1026,647
ZCTA5 02703,17898,1586,16312
ZCTA5 02713,18,2452,-2434
ZCTA5 02715,1383,6577,-5194
ZCTA5 02717,1696,12852,-11156
ZCTA5 02718,2444,10873,-8429
ZCTA5 02719,6872,6276,596
ZCTA5 02720,13787,7526,6261
ZCTA5 02721,11010,993,10017
ZCTA5 02723,7511,6055,1456
ZCTA5 02724,8389,1900,6489
ZCTA5 02725,934,2375,-1441
ZCTA5 02726,6314,17848,-11534
ZCTA5 02738,1993,3800,-1807
ZCTA5 02739,2926,4771,-1845
ZCTA5 02740,19301,10393,8908
ZCTA5 02743,4060,6066,-2006
ZCTA5 02744,5157,6723,-1566
ZCTA5 02745,10154,5277,4877
ZCTA5 02746,6697,9797,-3100
ZCTA5 02747,7237,3276,3961
ZCTA5 02748,4779,510,4269
ZCTA5 02760,11550,1370,10180
ZCTA5 02762,4144,6165,-2021
ZCTA5 02763,723,4808,-4085
ZCTA5 02764,1560,4008,-2448
ZCTA5 02766,6489,1747,4742
ZCTA5 02767,5550,4710,840
ZCTA5 02769,4377,6170,-1793
ZCTA5 02770,2032,1983,49
ZCTA5 02771,5969,19199,-13230
ZCTA5 02777,6752,6145,607
ZCTA5 02779,2294,24,2270
ZCTA5 02780,20625,354,20271
ZCTA5 02790,6667,1077,5590
